epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,304.423,1.61373,1.06222,1.44286,0.91599,0.86728,0.92503,0.53744,1.4391,1.14803,1.65873,0.000728719,0.000728719,0.000728719
101,307.491,1.54806,1.05136,1.44662,0.89222,0.86495,0.92117,0.53899,1.44408,1.19477,1.64805,0.000721645,0.000721645,0.000721645
102,310.256,1.55804,1.07256,1.47304,0.88906,0.88415,0.92181,0.52264,1.447,1.18094,1.64304,0.000714571,0.000714571,0.000714571
103,313.024,1.57573,1.02889,1.42834,0.88659,0.89468,0.92656,0.52732,1.39982,1.14701,1.61299,0.000707498,0.000707498,0.000707498
104,316.045,1.58448,1.05971,1.4387,0.90923,0.88645,0.93102,0.53613,1.38237,1.09456,1.60357,0.000700424,0.000700424,0.000700424
105,319.078,1.6163,1.07635,1.45127,0.92137,0.87803,0.93341,0.55982,1.36026,1.07748,1.60909,0.000693351,0.000693351,0.000693351
106,322.167,1.45102,1.00181,1.40438,0.91781,0.88448,0.9376,0.55723,1.39472,1.09512,1.63205,0.000686277,0.000686277,0.000686277
107,325.167,1.51631,1.0482,1.44951,0.93747,0.88124,0.93886,0.54171,1.39971,1.097,1.63152,0.000679204,0.000679204,0.000679204
108,327.908,1.47517,1.01662,1.43113,0.92424,0.89459,0.93918,0.54525,1.37438,1.07356,1.60938,0.00067213,0.00067213,0.00067213
109,330.911,1.53515,1.06345,1.43057,0.9214,0.89495,0.93561,0.5489,1.3778,1.07932,1.60216,0.000665057,0.000665057,0.000665057
110,333.936,1.52571,1.09284,1.44389,0.90837,0.89629,0.93548,0.55881,1.40225,1.08942,1.6152,0.000657983,0.000657983,0.000657983
111,336.918,1.52163,1.1269,1.40312,0.91367,0.89614,0.93828,0.57248,1.38724,1.1068,1.62087,0.000650909,0.000650909,0.000650909
112,339.942,1.54311,1.08792,1.4199,0.92278,0.90031,0.94053,0.56792,1.41385,1.13851,1.64811,0.000643836,0.000643836,0.000643836
113,343.013,1.46412,1.05191,1.41213,0.93616,0.88188,0.93606,0.5585,1.42317,1.12593,1.64317,0.000636762,0.000636762,0.000636762
114,346.072,1.52299,1.04383,1.40943,0.93253,0.8813,0.93384,0.56185,1.36188,1.07116,1.6008,0.000629689,0.000629689,0.000629689
115,348.857,1.45327,1.01857,1.39457,0.9169,0.91042,0.94224,0.55547,1.34438,1.0187,1.57677,0.000622615,0.000622615,0.000622615
116,351.929,1.47643,0.97453,1.35994,0.89739,0.92354,0.93754,0.55013,1.39857,1.06031,1.58906,0.000615542,0.000615542,0.000615542
117,354.966,1.51743,1.00137,1.40836,0.90088,0.91673,0.93717,0.55279,1.42009,1.10785,1.59452,0.000608468,0.000608468,0.000608468
118,358.033,1.50505,1.01202,1.39527,0.9115,0.89988,0.93812,0.55045,1.41773,1.09031,1.58581,0.000601395,0.000601395,0.000601395
119,360.776,1.47737,1.07552,1.43013,0.94417,0.88087,0.94026,0.54642,1.39774,1.0553,1.58373,0.000594321,0.000594321,0.000594321
120,363.523,1.49653,1.06628,1.43807,0.94863,0.87764,0.94338,0.57216,1.34005,1.04294,1.56866,0.000587248,0.000587248,0.000587248
121,366.536,1.49913,1.05898,1.40704,0.89482,0.91524,0.94496,0.56955,1.35696,1.05775,1.58822,0.000580174,0.000580174,0.000580174
122,369.49,1.51064,1.05269,1.4385,0.94633,0.87214,0.94883,0.56788,1.36881,1.04527,1.58188,0.0005731,0.0005731,0.0005731
123,372.488,1.45826,0.98989,1.36359,0.93172,0.86342,0.94641,0.58876,1.3531,1.00388,1.55826,0.000566027,0.000566027,0.000566027
124,375.534,1.48427,0.98622,1.36231,0.95575,0.87252,0.94322,0.56935,1.35652,1.00381,1.54308,0.000558953,0.000558953,0.000558953
125,378.491,1.47696,1.02029,1.40767,0.94736,0.87884,0.9412,0.55168,1.36328,1.02034,1.53889,0.00055188,0.00055188,0.00055188
126,381.477,1.44156,0.99999,1.3955,0.95619,0.88094,0.94297,0.56227,1.34205,1.01917,1.53834,0.000544806,0.000544806,0.000544806
127,384.471,1.49962,0.99951,1.36788,0.94388,0.89399,0.94145,0.57068,1.33987,1.03929,1.54815,0.000537733,0.000537733,0.000537733
128,387.448,1.46428,1.01194,1.33927,0.94798,0.89984,0.9434,0.57735,1.35668,1.06325,1.56031,0.000530659,0.000530659,0.000530659
129,390.421,1.4235,0.99188,1.35888,0.94148,0.91028,0.9453,0.57784,1.32687,1.07121,1.55321,0.000523586,0.000523586,0.000523586
130,393.381,1.4556,1.02635,1.37799,0.94176,0.91197,0.94755,0.58389,1.308,1.05954,1.53688,0.000516512,0.000516512,0.000516512
131,396.333,1.47331,1.01638,1.38263,0.93972,0.88507,0.94555,0.55639,1.33606,1.07011,1.53883,0.000509438,0.000509438,0.000509438
132,399.317,1.42782,0.97263,1.35802,0.94232,0.87823,0.94558,0.57492,1.33002,1.05835,1.52783,0.000502365,0.000502365,0.000502365
133,402.052,1.44511,1.02678,1.38618,0.93161,0.89856,0.94725,0.58314,1.30221,1.05622,1.50866,0.000495291,0.000495291,0.000495291
